SMILES,pIC50
COc1ccc2c(c1)c(CN1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1Cl,7.6576
Cc1c(C(=O)NC(C)C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.7595
Cc1c(C(=O)NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.6198
Cc1c(C(=O)N[C@@H](C)CO)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.2291
Cc1c(C(=O)NCC(C)C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,6.1524
Cc1c(C(=O)NO)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.1068
CCCCNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.7959
CCCCCCNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.1630
CCCCCNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.9547
Cc1c(C(=O)NC2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,6.6421
CCNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.5072
CCCCNNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.5452
Cc1c(C(=O)NCCO)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.3696
Cc1c(C(=O)NCCCCO)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.2426
CCNNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.2175
Cc1c(C(=O)NN)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,4.9172
CCCNNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.5817
CCCNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.5287
CNNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C,5.1765
Cc1c(C(=O)NNCC(C)C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.6596
Cc1c(C(=O)N[C@H](C)CO)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.7520
Cc1c(C(=O)NCCCO)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.9031
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,8.8239
CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(CO)cc1-2,7.5751
CCCCCCC(C)(C)c1cc(OC(C)=O)c2c(c1)OC(C)(C)c1ccc(C(=O)O)cc1-2,7.5838
CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,7.0177
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1ccc(C(=O)O)cc1-2,8.2932
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1ccc(CO)cc1-2,9.6990
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)CC21,9.9387
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C(=O)O)CC21,6.8515
CCCCCCC(C)(C)c1cc(O)c2c(c1)oc(=O)c1ccc(C)cc12,8.3372
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)CC21,8.1308
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,7.4437
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=CC21,9.3484
CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)c1ccc(C)cc1-2,6.7773
CCCCCCC(C)(C)c1cc(OC)c2c(c1)OC(C)(C)c1ccc(C(=O)OCCC)cc1-2,6.6696
CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)c1ccc(C(=O)OC)cc1-2,6.5591
CCCC(C)(C)c1ccc2c(c1)OC(C)(C)c1ccc(CO)cc1-2,7.1739
CCCC(C)(C)c1ccc2c(c1)OC(C)(C)c1ccc(C(=O)OC)cc1-2,6.2140
CCCC(C)(C)c1ccc(-c2cc(C)ccc2C(C)C)c(O)c1,6.9469
CCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,8.2218
CCCCCCC(C)(C)c1cc(OC)c2c(c1)OC(C)(C)c1ccc(C(=O)OC)cc1-2,6.2765
CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)c1ccc(CO)cc1-2,9.0000
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1ccc(C(=O)OC)cc1-2,8.4202
CCCCCCC(C)(C)c1cc(OC)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,6.5436
CCCCCCC(C)(C)c1ccc(-c2cc(C)ccc2C(C)C)c(O)c1,8.5229
COc1cccc2c(C(=O)NC3C(C)(C)[C@@H]4CC[C@@]3(C)C4)c(C)n(CCCN3CCOCC3)c12,7.6021
COc1cccc2c(C(=O)NC3CC(C)(C)CCC3(C)C)cn(CCN3CCOCC3)c12,7.6576
COc1cc(Cl)cc2c(C(=O)N[C@@H]3C4(C)CCC(C4)C3(C)C)c(C)n(CCN3CCOCC3)c12,6.6003
COC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(C)n(CCN2CCOCC2)c2ccccc12,6.6021
COc1cccc2c(C(=O)N[C@@H](Cc3ccccc3)C(C)=O)c(C)n(CCN3CCOCC3)c12,8.0969
COC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(C)n(CCN2CCOCC2)c2c(OC)cccc12,8.0969
CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(C)n(CCN2CCOCC2)c2c(OC)cccc12,6.5317
